
'SRNPBN2PIO37', 'C',
'7MGWE37DSKHU', '0',
'INE21YU04QCT', '0',
'E3WKQODCCKO8', '0',
'QNMZUQPL81IA', '0',
'FR11RIYJLWBF', 'D',
'9NBE5BJ4D5RY', '0',
'DCZNF4ORLXHU', '0',
'32K8KMZLZGLW', '0',
'LDCU49R3MOR3', '0',
'Y2NEW1OW55Z8', 'D',
'7RB6UMS8CR74', '0',
'1IFSMNYXDGJ9', '0',
'YC6VQUWQCUTP', 'D',
'CZHLX10S4QT6', '0',
'ZYI14L1HDRGN', '0',
'1VPN0YF9QE1L', '0',
'L23C97VUWYWA', '0',
'0BTKE4IP05J7', '0',
'WPU010J5ZMZX', '0',
'5ZKRY3NQUENI', '0',
'BAKWS189UCLD', 'D',
'7XPCTN70B4VW', '0',
'0A8K84MZQAV1', '0',
'TA7DVFMTE054', '0',
'GV7FJ6IZV37S', '0',
'3D0G2Q4VVFZY', 'D',
'240PAEU8EOY1', 'D',
'BCJSXX5H9LXH', '0',
'ENHNWCH45TXK', '0',
'7SQUG9PPRRJ7', '0',
'SW8MY7RL2I2Q', 'D',
'3H176NUA1LYY', 'D',
'HUL5LBT96421', 'B',
'L1SUIUAQB4TD', 'D',
'2WMCAX1LXEB8', '0',
'DI2XB71NWJXT', 'D',
'YGHL1N040AWC', '0',
'KZ67IFBTUI8Z', '0',
'33VHVYHI4SBX', '0',
'2V4W32W3WEDH', '0',
'GI5J8LFU7GDO', 'D',
'1BKOW5ULK0JG', '0',
'HA6G9PI3VFL1', '0',
'97JDO099XCC9', '0',
'D4SE4IPYSFRU', 'D',
'G7DWLG8IG8P9', '0',
'N0GT7M96FK89', 'D',
'Y7VZJRGG1OMQ', 'D',
'FFOSO4GOFFZK', '0',
'YWB6S6G99J8S', '0',
'MZKUU5V14XTE', '0',
'XADZA86W5WQL', '0',
'7IDKILTH3MTS', 'D',
'8523T0MATKH5', 'D',
'QIIOT3R5EFCW', '0',
'6LWPI4ERY0CB', 'D',
'UBCJN149RXZ2', '0',
'TRUZLWF6VOOV', 'D',
'R0F4QC2K1RQL', '0',
'2I8OKZ7Q38MY', '0',
'8GM1U7LKTCNZ', 'D',
'TGOEOZ07W37C', '0',
'3444CFP2HWEY', '0',
'Z1WYTH0BFVIT', '0',
'5MZQM9SM4IZU', '0',
'R60KJO85UPJM', 'D',
'XXVRCUGE6QUD', '0',
'V2RJ3G5B0THZ', 'D',
'7H2Q03GN7XXL', '0',
'D9V91Y7W0I5B', '0',
'5TTIWMS8FNVH', 'D',
'BTOR8ST9FIK4', 'D',
'SE104AY30OG7', 'D',
'WVWZPQ2J2I1P', 'D',
'ZZHRJ3H185R7', '0',
'JLYPB401RLD0', '0',
'JCN8QAP64NTB', '0',
'H84178ZHEB16', '0',
'F0FHOWM3LG2S', 'D',
'U6BNA6UTZ8A8', 'D',
'J6CMUT0GLOBW', '0',
'MSCQXXTJD6M0', 'D',
'F3Y6KXP5O3TA', 'D',
'ATM41BOF72BF', 'D',
'879DHR896276', 'D',
'N9IZJHU85X7I', 'D',
'XL3F4L8E3ZRY', '0',
'62E6KV7LBN39', 'D',
'O7KBCGEHYTW2', 'D',
'UFQRZF9EHXM3', '0',
'W9J8TSEWP4TL', '0',
'DSQB2OQCV7D1', '0',
'3L2GOOOP7WTN', '0',
'L5NMXJ0N6YHM', 'D',
'IME2FX3VIU36', 'D',
'D4MWQ4TGWM0Z', '0',
'WHUCWMIPWNS5', 'D',
'GR00MFQ28PRU', 'D',
'YUZVSE1QO7GR', '0',
'T21E0KC780DZ', '0',
'D41ICVLO4OYF', '0',
'FHZQYOGM8KBE', '0',
'WNJJXEG1F7NN', '0',
'KH21KCYGXRVF', '0',
'NZDBYIGZF3V8', 'D',
'JPQYICE3PUZK', 'D',
'X7XWKU631R2Y', 'D',
'HQOZWM9QT000', '0',
'NB0DJ8W1JUPM', '0',
'CNUUUZ4BMVRD', 'D',
'0NZMBKJ6OZTU', 'D',
'HTL2415BXM4K', '0',
'FA3ZDPBBSLX9', '0',
'RG0DIG6AL8Q0', 'D',
'N5PT629SDWX0', '0',
'KINUMTU08JQQ', '0',
'79LZU2YR7W41', '0',
'PIPLD9X1A2EU', 'D',
'PVV7NYBD6AN0', 'D',
'VEJSEO7IQC2D', 'D',
'XFZPI9DOHM5G', '0',
'MK8FEPIJ1QUG', '0',
'7NYVDGZ5RCMF', '0',
'O2JTA8BL88E6', 'D',
'P6S1F2W5L1YO', '0',
'KNHAJPNV969U', 'D',
'8RWP2FW2V4SB', '0',
'YG89VRONUAS2', '0',
'18T9Q80Q2VDK', '0',
'6WN02YZF06NL', 'D',
'AN6Z92OQ0A00', '0',
'UQ79S3X8E7QG', '0',
'ZWG5EQILF4OD', '0',
'HFB3RMZY8X1T', '0',
'4ML9JTF95D0C', 'D',
'MQUPAU09BO3Z', '0',
'XRMODS96HZ9H', 'D',
'NN64VGRU05QB', '0',
'H9YSMV9UNAVU', '0',
'MH2JRLBJL7TL', 'D',
'V3I2W56RVQ1T', '0',
'JXR2AV4RVKV6', 'D',
'3E9YORITHCYH', 'D',
'X32G9PSJCHH9', 'D',
'0I61G1NQ9FY7', '0',
'OVLVAZWX2ZR7', '0',
'31KTS216QIPW', 'D',
'OHHUN4ZTXSMS', '0',
'8111F2GBE7IJ', 'D',
'2VK26P5PWUFH', '0',
'YCE25N1D1KBQ', '0',
'JRSRMY7GX7M4', '0',
'SY64BQ0BJ36B', '0',
'HWW7CFFINT7X', 'D',
'XTF59EQE5YTC', '0',
'T572ELK7NFY6', '0',
'O5EN60NEKSOP', 'D',
'G7789QK7GRPJ', 'D',
'PUO22ULQWW8T', '0',
'0R28K9M5W0MO', 'D',
'HMXI0X2SFFN7', '0',
'Y529T0WWYTYI', '0',
'LUPPQDB8KP23', '0',
'OABGGY0HSEYD', '0',
'NX4P4J32W462', '0',
'WFYZSLA35KCI', '0',
'HDK3D58CW8UN', 'D',
'70QQ3C2LOBE9', 'D',
'AZSRELSQ89II', 'D',
'5QJ17MVZRV9V', 'D',
'NHCX3JQNJ7L1', '0',
'N0CR9UZ0D2R6', 'D',
'ACBWV5J1C9TQ', 'D',
'0JF29HEYVRVD', '0',
'5B307GY6JELA', '0',
'ILV0MRK11JGJ', '0',
'1B9UZ44DYUYT', '0',
'8G0ENNV3FV8S', '0',
'785PF2WXHB0F', '0',
'MVJCLWKY7BFY', 'D',
'OA8FH7C7M8VY', '0',
'COO01K5PRI2H', '0',
'2DI70XPLWRZY', '0',
'7IUR4JJIOHD4', '0',
'Z2NR6EN8D8S4', '0',
'5TF8K7VWGHVA', '0',
'863SLRQPZCIQ', '0',
'G8H51MSQTS64', 'D',
'OFAKBT3RQA0D', '0',
'ZLDQFHOG3XRR', '0',
'J1L0UXWYG2QI', '0',
'G9VX9N6F10E9', 'D',
'VQ9N77H5D1OC', '0',
'J0WAMORB8XL8', '0',
'CVB8FCA22X6S', '0',
'JZLM9SAOROA4', '0',
'MYUGA6KX80TG', '0',
'N67GCSVKXOEZ', 'D',
'788JO0LJLEGO', '0',
'2AF3KXR8V7U8', '0',
'DPHIG14A137X', '0',
'1RLUSRFFB519', '0',
'SYLZ74W6VO9Q', '0',
'2XMMI9MN6PHO', '0',
'471WCHMRK009', '0',
'XJW2LCPU7L1W', '0',
'301KGAGETHKF', '0',
'GCKWFAZJ36NN', '0',
'302DR60EJ5KQ', '0',
'G6UQI8T9H3AZ', 'D',
'1W20HY8LT8OI', '0',
'PF1Z38OD2K0N', 'D',
'RR0V0BSQ16ZY', '0',
'BAS26XMKPG0A', 'D',
'49G9ZTFG84ZF', 'D',
'R6FZK7L28AZS', '0',
'P63Q6THWL809', '0',
'HX6WK23BSCD8', 'D',
'HIK1M6H2VQA1', 'D',
'QZ79RK30QNOX', 'B',
'JNSA8827ZEOY', 'D',
'WOVNF4F1W1EC', '0',
'EXR2ETETJ881', 'D',
'HYKLPEMVVC06', '0',
'0K02OS17RIJ6', '0',
'K3UAO4F6ITEZ', 'D',
'WU063CJ3ZZTN', 'D',
'L1HXUKJQB3WO', '0',
'L3SJ40X4ZM7A', '0',
'4OY7IO5CY0CR', '0',
'PSF61DTACR6F', 'D',
'DSXRBRZS5VN0', 'D',
'L4D31P6WSHP1', 'D',
'NCJ56K029KGW', '0',
'JLZJYS3H8R1R', 'D',
'H0EEKYH3FDDM', 'C',
'ZUHMLOJKRKEJ', 'D',
'FQ8GQH7XA9B1', '0',
'FS0ZWSCRLOTT', 'D',
'S1CASBGZPPA6', 'D',
'FYZQTM3HDSFI', 'D',
'WA8WCE1LWQXX', '0',
'JODUTD9OY4TP', '0',
'NO46DRIJBYAR', 'C',
'73ITAS31L1RW', '0',
'VPBROM5DNIJM', '0',
'WZBBXZ1EBZ4D', '0',
'TPHO51E1O940', '0',
'TSASZ2JVBKUZ', '0',
'X0GLKLCTR6FO', '0',
'CPAKGENIIY88', '0',
'VY0JW9NQ4KCA', '0',
'M2USFW0MF58W', 'D',
'3KYC5LSXML24', '0',
'692T74RY84HK', 'D',
'HUO31WFUKJQI', 'D',
'JOAPH9SNEJ7M', 'C',
'KL0V11J4YY5K', '0',
'1CA92A8HP3U1', '0',
'01Z73EQ79R9E', '0',
'JEMGE6QH22DC', '0',
'WX87VPGM02CB', 'D',
'5SIE48K73N3B', 'D',
'QE4RF4FX0CDK', '0',
'UVIQMXC37M0L', 'D',
'C08T2C6EFL0G', '0',
'9FNK6RL156ZJ', '0',
'NHRJF9ML9T52', '0',
'C35MMRRXIADR', 'D',
'X99GGYOF75LV', '0',
'HGKA7DQJSCLU', 'D',
'4CK89FWYRL72', 'D',
'GES1955JOTKK', 'D',
'54LD4LZ7DN1Z', '0',
'5AHDGQXYAZVY', '0',
'GCY6QLQPQ453', 'D',
'1Y1WOJWAQ3Z7', '0',
'KSA8SG5QZTI9', '0',
'OZBG96MJQTZ6', '0',
'VE2NP9G9YDWS', 'D',
'5P3DBIK3X44Y', '0',
'BKONZ9EJ469S', 'D',
'Y0KRC8QKXECM', 'D',
'GDKG06PMQZIY', '0',
'36WS861J4XNR', '0',
'48HAF09AOKJC', '0',
'AAQ24M726XBM', 'D',
'M2TTWXVT59CO', '0',
'QFHNK4JSOX1M', 'D',
'TEFT3CPTQDPX', '0',
'VV6EHHKJEFON', 'D',
'FNMPP5TIPDEU', 'D',
'5DZJC6L1OHZV', '0',
'4RCBPUQDKR9P', '0',
'3E1OPRUAWE9U', 'D',
'1KX8UBWU7H1O', '0',
'KKGOF07KZR9N', 'D',
'5V99YPNTWTO9', 'D',
'Y3FKTZS35HQ7', '0',
'CR8W94CZ4SM0', '0',
'AEMJUCKQSNT4', 'D',
'4DB37G9DDCR5', '0',
'D5S5PR95F7WB', 'D',
'3FLIO4TUA75J', '0',
'2Y4OWBR6D3Q2', '0',
'KZG0VT5UT0ZD', '0',
'E1ZTEBQ3FYCS', '0',
'Q8KMRMXQTQ95', 'D',
'Q8KIZDDM7GM5', '0',
'WHGMAOY13AO6', 'D',
'RSCHY7C83N5B', '0',
'H8L7TCOV4TEI', 'D',
'KNPSORWCAK8H', '0',
'Y2A0G6R0XWJI', '0',
'UL4D3A14ABXB', 'D',
'9RJ7MFY8FXGX', 'D',
'OSIJ1ZWC4LX0', 'D',
'YNM2UNBHOENY', '0',
'2XXW1HTHJC4W', '0',
'L3CJVCA69ZP9', 'D',
'B8S0R0HDKF0X', '0',
'UU4B3AZY8GUK', '0',
'UXLD68HVB9VG', '0',
'HHHA8TYQGQ8A', '0',
'7WB53SCP7BRX', 'D',
'Z8LBYGTDKI4J', 'D',
'TK2I75IQCT8K', 'D',
'Y2JLKOFMXFU5', '0',
'V9S68EV3IRRW', '0',
'JBTF9SIKNA9P', '0',
'WXDW1XVQP0FV', '0',
'UMQ496BC47SL', '0',
'KCW3PFWJC4CS', '0',
'ZSPHC4LE95I5', 'D',
'96RD7MEJWJSK', '0',
'RET1DAQS9HM5', '0',
'XSXQJLY2KP66', '0',
'KS6ZCCHIL2K2', 'D',
'W6SWU0U8AD1K', 'D',
'IJ2MT2UP8E18', 'D',
'GG1PZG1TK1ZE', 'D',
'FNO5U1GYPCFJ', 'D',
'2UX082KMTY5D', 'D',
'V12M3EKG0FBG', '0',
'NEEKP514L73R', 'D',
'2R9HCGWOA549', '0',
'ME0240J4SPNA', 'D',
'E2F1IAVDI6QB', 'D',
'KTSLW1T1WYTW', 'D',
'636Z6XVZGX0N', 'D',
'ZKYNSPWHP1PI', 'D',
'XY3BPUF8AU27', 'D',
'51DKB3QXBNVX', 'D',
'B9A79UKPFCUX', 'D',
'QRTTIROTJP16', '0',
'QRTR4GZ6GP9E', 'D',
'JDWYA8LEZD88', 'D',
'6QQJ3APHDOB6', 'D',
'NL24VMDZM0KW', 'D',
'4OBZLGBPGD5S', 'D',
'0RLG2SZ46QH7', 'D',
'WD5V7G2R43T9', '0',
'JTIV5R0ADWBZ', '0',
'BDRI36U2G454', '0',
'YPVDNPFRVULF', 'D',
'I1X3FJNIWBA7', 'D',
'S0O1CIU9EQV8', '0',
'2GF5XN6BUUKL', '0',
'WAHDSMTMFU28', '0',
'MNJC48YS504S', '0',
'M6CUS002HLR6', '0',
'6EDWEY1JXOLL', 'D',
'XJDR64PYOVYC', 'D',
'K2IL7JSP7GLW', '0',
'A7JAPMALWFV0', 'D',
'DH68EGFWNNMB', '0',
'6D94A7RAS65W', '0',
'5B41A4APH8DI', 'D',
'YH1MC6SKT1NQ', 'C',
'ROPNT6JJOTAI', 'D',
'3BUWXOZ1YPAK', 'D',
'GEIZDP6WEC8I', '0',
'HLQNWVI0P8PH', '0',
'AG78PB03VTJB', 'D',
'X9EZ6CVQTW73', 'D',
'F2Z6U94X8UA3', '0',
'1O8Z0CZT1RPJ', 'D',
'1H9WZQHQZQ4E', '0',
'80PM5E9I4WYA', '0',
'VQSDI6MG92FY', 'D',
'Z9WXIBGTD5TY', 'D',
'X3DPSDC3UXGW', 'D',
'8RJO164UDIB7', '0',
'OW2YKAX867MC', '0',
'4YEAWAPF4SBG', 'D',
'1XNX0D87ZYA4', 'D',
'C6KLBPXO3CNP', 'D',
'5HFSQ1VYCSL1', 'D',
'J711CIPKUEXG', 'D',
'SD9XHLRMZT7P', '0',
'YNQHV3QJAGJU', '0',
'FKZ6OTXOB7TG', 'D',
'J25F1IFILHXT', 'D',
'0AAMGB5UGLL0', '0',
'5CO2KCGDDRY0', 'D',
'2P3TU9HKCQHK', 'D',
'1Z73PRKQL8GY', '0',
'7F8P3E26RV2Q', '0',
'1ZI9TEKQQPU7', 'D',
'FCT0JMRE5YA6', '0',
'FHGDZ3VJNXQ0', '0',
'2BDOM1YPJ81A', '0',
'PCP8SB4VW1B9', 'D',
'0QQX8HZI6N4M', '0',
'RBTGI0DXCGG2', 'D',
'T2KE76VD4C85', '0',
'KCMWWHE9IP0V', 'D',
'IQQFLPYGD5JI', '0',
'2KA78F5088LI', '0',
'2W09WD910KGU', '0',
'3R94FN9MT5QK', '0',
'4VEUJXAXFQ1I', 'D',
'K8QQ9KZFVKU0', 'D',
'6IYZGHACGXJ6', 'D',
'NSHHHTS2SWI9', '0',
'B8SN8YWL59LQ', '0',
'9HM0KM0QUPJQ', '0',
'0E1PY1FO2OIE', 'D',
'736HDUMWRS62', '0',
'3ZD3KKZ69CLQ', 'D',
'9WZBQTJVF1KA', 'D',
'I827MZ3D4NV9', '0',
